country_rank,domain,sector,industry,position,position_industry,monthly_visits,unique_visitors,visit_duration,pages_visit,bounce_rate,desktop_frac,mobile_frac,traffic_share,traffic_share_industry,total_monthly_time,software_as_service,content_producer,user_content_platform,needs_login,charge_users,mainly_web,owner,for_profit,owner_country,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
1,google.com,Computers Electronics and Technology,Search Engines,1.0,1.0,85730000000.0,3147000000.0,646.0,8.75,0.283,0.412,0.588,0.1864611,0.793,55381580000000.0,0.0,0.0,0.0,0.0,0.0,1.0,Alphabet,1.0,United States,0,2,2,2,0,6,6
2,youtube.com,Arts and Entertainment,TV Movies and Streaming,2.0,1.0,32810000000.0,1942000000.0,1204.0,11.56,0.2162,0.779,0.221,0.0713611,0.6051,39503240000000.0,0.0,0.0,1.0,0.0,0.0,1.0,Alphabet,1.0,United States,0,2,2,2,0,6,6
3,facebook.com,Computers Electronics and Technology,Social Networks and Online Communities,3.0,1.0,16810000000.0,1455000000.0,633.0,8.84,0.313,0.417,0.583,0.0365614,0.3323,10640730000000.0,0.0,0.0,1.0,1.0,0.0,1.0,Meta,1.0,United States,0,2,2,2,0,5,2
4,instagram.com,Computers Electronics and Technology,Social Networks and Online Communities,4.0,2.0,6602000000.0,1102000000.0,494.0,11.15,0.3518,0.36,0.64,0.0143592,0.1305,3261388000000.0,0.0,0.0,1.0,1.0,0.0,1.0,Meta,1.0,United States,0,2,2,2,0,5,2
5,twitter.com,Computers Electronics and Technology,Social Networks and Online Communities,5.0,3.0,6143000000.0,888200000.0,642.0,9.92,0.3206,0.455,0.545,0.0133609,0.1214,3943806000000.0,0.0,0.0,1.0,1.0,0.0,1.0,Elon Musk,1.0,United States,0,2,2,2,0,5,2
6,baidu.com,Computers Electronics and Technology,Search Engines,6.0,2.0,5095000000.0,260800000.0,293.0,8.04,0.2228,0.268,0.732,0.0110815,0.0471,1492835000000.0,0.0,0.0,0.0,0.0,0.0,1.0,Baidu,1.0,China,0,2,2,2,0,6,6
8,wikipedia.org,Reference Materials,Dictionaries and Encyclopedias,7.0,1.0,4413000000.0,964600000.0,234.0,3.11,0.596,0.406,0.594,0.0095982,0.5642,1032642000000.0,0.0,0.0,1.0,0.0,0.0,1.0,Wikimedia,0.0,United States,0,2,2,2,0,6,6
12,yahoo.com,News and Media,News and Media,8.0,1.0,3747000000.0,415700000.0,598.0,5.29,0.3468,0.655,0.345,0.0081497,0.0585,2240706000000.0,0.0,1.0,0.0,0.0,0.0,1.0,Apollo,1.0,United States,0,1,1,0,5,2,0
7,yandex.ru,Computers Electronics and Technology,Search Engines,9.0,3.0,3225000000.0,207400000.0,539.0,8.96,0.2476,0.502,0.498,0.0070143,0.0298,1738275000000.0,0.0,0.0,0.0,0.0,0.0,1.0,Yandex,1.0,Russia,0,2,2,2,0,6,6
21,whatsapp.com,Computers Electronics and Technology,Social Networks and Online Communities,10.0,4.0,3033000000.0,471500000.0,1191.0,1.72,0.4085,0.786,0.214,0.0065967,0.06,3612303000000.0,1.0,0.0,1.0,1.0,0.0,1.0,Meta,1.0,United States,0,2,2,2,0,5,2
9,xvideos.com,Adult,Adult,11.0,1.0,2676000000.0,353300000.0,531.0,9.01,0.1817,0.09,0.91,0.0058202,0.0659,1420956000000.0,0.0,0.0,1.0,0.0,0.0,1.0,WGCZ,1.0,Czech Republic,0,2,2,2,0,6,6
10,amazon.com,Ecommerce and Shopping,Marketplace,12.0,1.0,2394000000.0,449400000.0,427.0,9.64,0.3433,0.647,0.353,0.0052069,0.1392,1022238000000.0,0.0,1.0,1.0,0.0,0.0,0.0,Amazon,1.0,United States,0,1,1,0,2,0,3
13,pornhub.com,Adult,Adult,13.0,2.0,2273000000.0,346800000.0,569.0,8.17,0.214,0.136,0.864,0.0049437,0.056,1293337000000.0,0.0,0.0,1.0,0.0,0.0,1.0,Ethical Capital Partners,1.0,Canada,0,2,2,2,0,6,6
14,tiktok.com,Computers Electronics and Technology,Social Networks and Online Communities,14.0,5.0,2235000000.0,806100000.0,223.0,7.42,0.3675,0.208,0.792,0.0048611,0.0442,498405000000.0,0.0,0.0,1.0,0.0,0.0,1.0,ByteDance,1.0,China,0,2,2,2,0,6,6
11,xnxx.com,Adult,Adult,15.0,3.0,2199000000.0,276900000.0,481.0,11.18,0.1217,0.05,0.95,0.0047828,0.0541,1057719000000.0,0.0,0.0,1.0,0.0,0.0,1.0,WGCZ,1.0,Czech Republic,0,2,2,2,0,6,6
18,yahoo.co.jp,News and Media,News and Media,16.0,2.0,2035000000.0,87510000.0,560.0,6.34,0.3066,0.313,0.687,0.0044261,0.0318,1139600000000.0,0.0,1.0,0.0,0.0,0.0,1.0,SoftBank,1.0,Japan,0,1,1,0,5,2,0
15,live.com,Computers Electronics and Technology,Email,17.0,1.0,2019000000.0,280900000.0,488.0,8.25,0.2036,0.715,0.285,0.0043913,0.4474,985272000000.0,1.0,0.0,0.0,1.0,0.0,1.0,Microsoft,1.0,United States,1,0,0,1,1,1,1
17,reddit.com,Computers Electronics and Technology,Social Networks and Online Communities,18.0,6.0,1863000000.0,265600000.0,502.0,6.17,0.3973,0.608,0.392,0.004052,0.0368,935226000000.0,0.0,0.0,1.0,0.0,0.0,1.0,Reddit,1.0,United States,0,2,2,2,0,6,6
26,docomo.ne.jp,Computers Electronics and Technology,Telecommunications,19.0,1.0,1801000000.0,89290000.0,341.0,4.77,0.2732,0.016,0.984,0.0039171,0.2945,614141000000.0,0.0,1.0,0.0,0.0,0.0,0.0,NTT,1.0,Japan,0,1,1,0,2,0,3
16,linkedin.com,Computers Electronics and Technology,Social Networks and Online Communities,20.0,7.0,1780000000.0,343700000.0,453.0,7.77,0.2468,0.697,0.303,0.0038715,0.0352,806340000000.0,0.0,0.0,1.0,1.0,0.0,1.0,Microsoft,1.0,United States,0,2,2,2,0,5,2
24,openai.com,Computers Electronics and Technology,Computers Electronics and Technology - Other,21.0,1.0,1561000000.0,249400000.0,291.0,4.23,0.4033,0.562,0.438,0.0033951,0.0781,454251000000.0,1.0,1.0,0.0,1.0,0.0,1.0,Microsoft,1.0,United States,1,0,0,4,4,4,4
22,office.com,Computers Electronics and Technology,Programming and Developer Software,22.0,1.0,1541000000.0,160500000.0,605.0,7.66,0.2798,0.739,0.261,0.0033516,0.1012,932305000000.0,1.0,0.0,0.0,1.0,0.0,1.0,Microsoft,1.0,United States,1,0,0,1,1,1,1
19,xhamster.com,Adult,Adult,23.0,4.0,1519000000.0,367600000.0,446.0,6.19,0.22,0.123,0.877,0.0033038,0.0374,677474000000.0,0.0,0.0,1.0,0.0,0.0,1.0,Hammy Media,1.0,Cyprus,0,2,2,2,0,6,6
30,netflix.com,Arts and Entertainment,TV Movies and Streaming,24.0,2.0,1453000000.0,201800000.0,339.0,4.3,0.3471,0.906,0.094,0.0031602,0.0268,492567000000.0,0.0,1.0,0.0,1.0,1.0,1.0,Netflix,1.0,United States,1,0,3,3,3,3,7
32,dzen.ru,Community and Society,Community and Society - Other,25.0,1.0,1394000000.0,152700000.0,548.0,4.95,0.3705,0.398,0.602,0.0030319,0.9929,763912000000.0,0.0,0.0,1.0,0.0,0.0,1.0,VK,1.0,Russia,0,2,2,2,0,6,6
33,microsoftonline.com,Computers Electronics and Technology,Programming and Developer Software,26.0,2.0,1239000000.0,224100000.0,130.0,2.62,0.4027,0.735,0.265,0.0026948,0.0814,161070000000.0,1.0,0.0,0.0,1.0,0.0,1.0,Microsoft,1.0,United States,1,0,0,1,1,1,1
28,bing.com,Computers Electronics and Technology,Search Engines,27.0,4.0,1238000000.0,137100000.0,416.0,6.06,0.3019,0.656,0.344,0.0026926,0.0115,515008000000.0,0.0,0.0,0.0,0.0,0.0,1.0,Microsoft,1.0,United States,0,2,2,2,0,6,6
36,samsung.com,Computers Electronics and Technology,Consumer Electronics,28.0,1.0,1230000000.0,305500000.0,155.0,2.46,0.5359,0.041,0.959,0.0026752,0.2382,190650000000.0,0.0,1.0,0.0,0.0,0.0,0.0,Samsung,1.0,South Korea,0,1,1,0,2,0,3
23,bilibili.com,Arts and Entertainment,Animation and Comics,29.0,1.0,1200000000.0,91220000.0,1221.0,12.49,0.1424,0.894,0.106,0.00261,0.1417,1465200000000.0,0.0,,1.0,0.0,0.0,1.0,Bilibili,1.0,China,0,2,2,2,0,6,6
20,vk.com,Computers Electronics and Technology,Social Networks and Online Communities,30.0,8.0,1197000000.0,106200000.0,723.0,14.59,0.2767,0.676,0.324,0.0026035,0.0237,865431000000.0,0.0,0.0,1.0,1.0,0.0,1.0,VK,1.0,Russia,0,2,2,2,0,5,2
25,naver.com,News and Media,News and Media,31.0,3.0,1177000000.0,42500000.0,958.0,11.61,0.2587,0.462,0.538,0.00256,0.0184,1127566000000.0,0.0,0.0,1.0,0.0,0.0,1.0,Naver,1.0,South Korea,0,2,2,2,0,6,6
29,mail.ru,Computers Electronics and Technology,Email,32.0,2.0,1170000000.0,126500000.0,494.0,6.22,0.313,0.571,0.429,0.0025447,0.2593,577980000000.0,1.0,1.0,1.0,1.0,0.0,1.0,VK,1.0,Russia,1,0,0,4,4,4,4
47,weather.com,Science and Education,Weather,33.0,1.0,1123000000.0,324500000.0,57.0,1.99,0.3807,0.1,0.9,0.0024425,0.2998,64011000000.0,0.0,1.0,0.0,0.0,0.0,0.0,IBM,1.0,United States,0,1,1,0,2,0,3
27,pinterest.com,Computers Electronics and Technology,Social Networks and Online Communities,34.0,9.0,1082000000.0,418400000.0,357.0,6.26,0.4095,0.39,0.61,0.0023533,0.0214,386274000000.0,0.0,0.0,1.0,0.0,0.0,1.0,Pinterest,1.0,United States,0,2,2,2,0,6,6
31,discord.com,Computers Electronics and Technology,Social Networks and Online Communities,35.0,10.0,1069000000.0,352200000.0,405.0,7.15,0.509,0.391,0.609,0.0023251,0.0211,432945000000.0,1.0,0.0,1.0,1.0,0.0,1.0,Discord,1.0,United States,0,2,2,2,0,5,2
53,twitch.tv,Games,Video Games Consoles and Accessories,36.0,1.0,1038000000.0,72000000.0,550.0,3.99,0.2867,0.892,0.108,0.0022576,0.0703,570900000000.0,0.0,0.0,1.0,0.0,0.0,1.0,Amazon,1.0,United States,0,2,2,2,0,6,6
38,turbopages.org,News and Media,News and Media,37.0,4.0,995300000.0,305300000.0,82.0,3.51,0.2137,0.015,0.985,0.0021648,0.0155,81614600000.0,,,,,,,,,,0,2,2,2,0,6,6
35,max.com,Arts and Entertainment,TV Movies and Streaming,38.0,3.0,979600000.0,222000000.0,355.0,6.03,0.3298,0.077,0.923,0.0021306,0.0181,347758000000.0,0.0,1.0,0.0,1.0,1.0,1.0,Warner Bros. Discovery,1.0,United States,1,0,3,3,3,3,7
34,microsoft.com,Computers Electronics and Technology,Programming and Developer Software,39.0,3.0,977800000.0,338600000.0,250.0,3.7,0.4718,0.763,0.237,0.0021267,0.0642,244450000000.0,0.0,1.0,0.0,0.0,0.0,0.0,Microsoft,1.0,United States,0,1,1,0,2,0,3
48,zoom.us,Computers Electronics and Technology,Computers Electronics and Technology - Other,40.0,2.0,829700000.0,207700000.0,212.0,3.05,0.3585,0.555,0.445,0.0018046,0.0415,175896400000.0,1.0,0.0,0.0,1.0,0.0,1.0,Zoom,1.0,United States,1,0,0,1,1,1,1
41,duckduckgo.com,Computers Electronics and Technology,Search Engines,41.0,5.0,806100000.0,42810000.0,523.0,6.98,0.1124,0.539,0.461,0.0017533,0.0075,421590300000.0,0.0,0.0,0.0,0.0,0.0,1.0,DuckDuckGo,1.0,United States,0,2,2,2,0,6,6
55,qq.com,News and Media,News and Media,42.0,5.0,790700000.0,177900000.0,205.0,3.08,0.4716,0.498,0.502,0.0017198,0.0123,162093500000.0,0.0,,1.0,0.0,0.0,1.0,Tencent,1.0,China,0,2,2,2,0,6,6
45,xhamster.desi,Adult,Adult,43.0,5.0,776200000.0,241400000.0,205.0,3.61,0.1367,0.026,0.974,0.0016882,0.0191,159121000000.0,0.0,0.0,1.0,0.0,0.0,1.0,Hammy Media,1.0,Cyprus,0,2,2,2,0,6,6
46,roblox.com,Games,Video Games Consoles and Accessories,44.0,2.0,761100000.0,42410000.0,824.0,9.62,0.1893,0.929,0.071,0.0016554,0.0515,627146400000.0,0.0,0.0,1.0,1.0,0.0,1.0,Roblox,1.0,United States,0,2,2,2,0,5,2
43,stripchat.com,Adult,Adult,45.0,6.0,736900000.0,256300000.0,297.0,4.36,0.4425,0.167,0.833,0.0016027,0.0181,218859300000.0,0.0,0.0,1.0,0.0,0.0,1.0,StripChat,1.0,United States,0,2,2,2,0,6,6
60,quora.com,Reference Materials,Dictionaries and Encyclopedias,46.0,2.0,729300000.0,252100000.0,167.0,2.37,0.6031,0.271,0.729,0.0015862,0.0932,121793100000.0,0.0,0.0,1.0,1.0,0.0,1.0,Quora,1.0,United States,0,2,2,2,0,5,2
54,fandom.com,Arts and Entertainment,Arts and Entertainment - Other,47.0,1.0,726900000.0,164400000.0,306.0,4.53,0.4831,0.392,0.608,0.001581,0.0961,222431400000.0,0.0,1.0,1.0,0.0,0.0,1.0,TGP,1.0,United States,0,1,1,0,5,2,0
77,globo.com,News and Media,News and Media,48.0,6.0,723200000.0,85640000.0,254.0,2.5,0.4633,0.238,0.762,0.0015729,0.0113,183692800000.0,0.0,1.0,0.0,0.0,0.0,1.0,Globo,1.0,Brazil,0,1,1,0,5,2,0
44,sharepoint.com,Computers Electronics and Technology,Computers Electronics and Technology - Other,49.0,3.0,703600000.0,93180000.0,427.0,5.68,0.2998,0.89,0.11,0.0015303,0.0352,300437200000.0,1.0,0.0,0.0,1.0,1.0,1.0,Microsoft,1.0,United States,1,0,0,1,1,1,1
69,t.me,Computers Electronics and Technology,Computers Electronics and Technology - Other,50.0,4.0,696700000.0,237000000.0,195.0,2.47,0.6202,0.161,0.839,0.0015153,0.0348,135856500000.0,1.0,0.0,1.0,1.0,0.0,1.0,Telegram,1.0,United Arab Emirates,0,2,2,2,0,5,2
40,ebay.com,Ecommerce and Shopping,Marketplace,51.0,2.0,687600000.0,181200000.0,411.0,6.79,0.3749,0.501,0.499,0.0014955,0.04,282603600000.0,0.0,0.0,1.0,0.0,0.0,1.0,Ebay,1.0,United States,0,2,2,2,0,6,6
51,msn.com,News and Media,News and Media,52.0,7.0,665200000.0,136300000.0,329.0,5.54,0.4471,0.595,0.405,0.0014468,0.0104,218850800000.0,0.0,0.0,1.0,0.0,0.0,1.0,Microsoft,1.0,United States,0,2,2,2,0,6,6
87,news.yahoo.co.jp,News and Media,News and Media,53.0,8.0,639700000.0,42020000.0,391.0,3.2,0.2928,0.439,0.561,0.0013913,0.01,250122700000.0,0.0,1.0,0.0,0.0,0.0,1.0,SoftBank,1.0,Japan,0,1,1,0,5,2,0
81,cnn.com,News and Media,News and Media,54.0,9.0,622500000.0,144100000.0,185.0,2.37,0.5683,0.313,0.687,0.0013539,0.0097,115162500000.0,0.0,1.0,0.0,0.0,0.0,1.0,Warner Bros. Discovery,1.0,United States,0,1,1,0,5,2,0
42,indeed.com,Jobs and Career,Jobs and Employment,55.0,1.0,611500000.0,177700000.0,384.0,8.29,0.3349,0.39,0.61,0.00133,0.1237,234816000000.0,0.0,0.0,1.0,1.0,0.0,1.0,Recruit Holdings,1.0,Japan,0,2,2,2,0,5,2
76,nytimes.com,News and Media,News and Media,56.0,10.0,610100000.0,140600000.0,210.0,2.85,0.5872,0.331,0.669,0.001327,0.0095,128121000000.0,0.0,1.0,0.0,1.0,1.0,1.0,The New York Times,1.0,United States,1,0,3,3,3,3,7
